	TCGA-CESC	TCGA-HNSC	TCGA-LUSC	TCGA-ESCA	TCGA-BRCA	TCGA-GBM	TCGA-OV	TCGA-LUAD	TCGA-UCEC	TCGA-KIRC	TCGA-LGG	TCGA-THCA	TCGA-PRAD	TCGA-SKCM	TCGA-COAD	TCGA-STAD	TCGA-BLCA	TCGA-LIHC	TCGA-KIRP	TCGA-SARC	TCGA-PAAD	TCGA-PCPG	TCGA-READ	TCGA-TGCT	TCGA-THYM	TCGA-KICH	TCGA-ACC	TCGA-MESO	TCGA-UVM	TCGA-DLBC	TCGA-UCS	TCGA-CHOL
5-fluorouracil,bevacizumab,leucovorin,oxaliplatin															2.0																	
5-fluorouracil,avastin,irinotecan,leucovorin,oxaliplatin															2.0																	
5-fluorouracil,folinic acid,irinotecan															2.0																	
5-fluorouracil,etoposide,leucovorin																9.0																
capecitabine,cisplatin,epirubicin																5.0																
5-flourouracil,cisplatin,epirubicin																5.0																
5-fluorouracil,cisplatin,folinic acid																4.0																
doxifluridine																4.0																
copolang,didox																3.0																
ts-1																2.0																
dexamethasone,epirubicin,oxaliplatin,xeloda																2.0																
adriamycin,cisplatin,methotrexate,vinblastine																	4.0															
cisplatin,doxorubicin,methotrexate,vinblastine																	3.0															
bcg																	3.0															
gemcitabine,platinum																	2.0															
carboplatin,cisplatin,gemcitabine																	2.0		1.0									2.0				
cisplatin,gemcitabine,paclitaxel																	2.0															
- zactima,cisplatin,docetaxel +,gemcitabine,ifosfamide,paclitaxel																	1.0															
cisplatin,doxorubicin,methotrexate,tarceva,vinblastine																	1.0															
cisplatnin,gemcitabine																	1.0															
bcg,cisplatin,gemcitabine,saha,vorinostat																	1.0															
gemcitabine and cisplatin																	1.0															
cisplatin,ifosfamide,mesna,paclitaxel																	1.0															
5-fluorouracil,carboplatin																	1.0															
etoposide,paclitaxel																	1.0															
docetaxel,doxorubicin,halichondrin b,ifosfamide,mesna																	1.0															
ipilimumab,nivolumab																	1.0															
avastin,cisplatin,doxorubicin,methotrexate,vinblastine																	1.0															
cddp,gemcitabine																	1.0															
cisplatin,ifosfamide,paclitaxel																	1.0															
adriamycin,carboplatin,cisplatin,gemcitabine,methotrexate,vinblastine																	1.0															
[not available],cisplatin,docetaxel,gemcitabine																	1.0															
carboplatin,etopside																	1.0															
adriamycin (doxorubicin),cisplatin,gemcitabine,halichondrin,ifosfamide,paclitaxel,temsirolimus,vinorelbine																	1.0															
cisplatin,doxorubicin,gemcitabine,methotrexate,vinblastine																	1.0															
bcg, intravesicular,gemcitabine,platinol																	1.0															
bacillus calmette-guerin (bcg),doxobubicin																	1.0															
carboplatin,doxorubicin,etoposide																	1.0															
[not available],cisplatin,fosaprepitant,gemcitabine																	1.0															
cisplatin,gemcitabine,ifosfamide,paclitaxel																	1.0															
cisplatin,doxorubicin,gemcitabine,ifosfamide,methotrexate,vinblastine																	1.0															
naxavar																		3.0														
5-fluorouracil,[not available],oxaliplatin,sorafenib																		1.0														
sorafenib,sunitinib																		1.0														
adriamycin,gemcitabine,mitomycin c,tamoxifen																		1.0														
regorafenib,sarafenib																		1.0														
alvesin																		1.0														
sorafinib ( nexavar)																		1.0														
hec.1 - sorafenib vs sorafenib plus doxorubicin																		1.0														
cisplatin,gemcitabine,sorafenib,temsirolimus																		1.0														
abt-888,ly228820,sorafenib,temozolomide																		1.0														
doxorubicin,everolimus, gemcitabine, and cisplatin,sorafenib																		1.0														
abt-888 and temozolomide,sorafenib,temozolomide																		1.0														
everolimus,naxavar,som 230																		1.0														
everolimus																			1.0													
afinitor,sutent																			1.0													
adriamycin,cytoxan,rituxan,vincristine																			1.0													
psma dna vaccine,sunitinib,temsirolimus																			1.0													
intron a																			1.0													
naxavar,sunitinib																			1.0													
afinitor																			1.0													
sorafenib,temsirolimus																			1.0													
17-aag																			1.0													
sutent,temsirolimus																			1.0													
temsirolimus																			1.0													
sunitinib,temsirolimus																			1.0													
bevacizumab,sorafenib,sunitinib,temsirolimus																			1.0							1.0						
sorafenib,sunitinib,temsirolimus																			1.0													
docetaxel,gemcitabine																				14.0												
adriamycin																				5.0												
doxil																				3.0												
adriamycin,ifosfamide																				2.0												
docetaxel,gemcitabine,pd 0332991																				2.0												
docetaxel,gemcitabine,pazopanib																				2.0												
adriamycin,docetaxel,gemcitabine,ifosfamide																				2.0												
ifosfamide																				2.0											1.0	
mln8237,morab-004																				1.0												
doxil,gemcitabine																				1.0												
doxorubicin,gleevec,raloxifene,sorafenib,sulindac,tamoxifen																				1.0												
cisplatin,dacarbazine,doxil,ifosfamide,sorafenib,vorinostat																				1.0												
adriamycin,docetaxel,femara,gemcitabine																				1.0												
adriamycin,etoposide,ifosfamide																				1.0												
adriamycin,ap-23573 (ariad),dacarbazine (dtic),docetaxel,enoticumab,et-743,ezn-2968,gemcitabine,pemetrexed,threshold-302																				1.0												
dacarbazine,docetaxel,doxil,doxorubicin,gemcitabine,ifosfamide,pazopanib																				1.0												
docetaxel,doxorubicin,gemcitabine,ifosfamide																				1.0												
adriamycin,dacarbazine,ifosfamide																				1.0												
doxil,ifosfamide																				1.0												
adriamycin,docetaxel,gemcitabine																				1.0												
adriamycin,carboplatin,docetaxel,gemcitabine,ifosfamide																				1.0												
megace,tamoxifen																				1.0												
adriamycin,doxil,ifosfamide																				1.0												
docetaxel,gemcitabine,liposomal doxorubicin																				1.0												
avastin,everolimus,tivozanib																				1.0												
ifosfamide,pd 0332991																				1.0												
docetaxel,doxorubicin,gemcitabine																				1.0												
adriamycin,ifosfamide,mesna																				1.0												
adriamycin,dacarbazine,docetaxel,gemcitabine,ifosfamide,pazopanib,trabectedin																				1.0												
adriamycin,docetaxel,dtic, dacarbazine,gemcitabine,pazopanib																				1.0												
adriamycin,dacarbazine,docetaxel,gemcitabine																				1.0												
dacarbazine,docetaxel,doxorubicin,et-743,gemcitabine,pazopanib																				1.0												
adriamycin,docetaxel,gemcitabine,ifosfamide,temozolomide																				1.0												
doxil,everolimus,gemcitabine,pazopanib,r1507																				1.0												
doxirubicin,gemcitabine																				1.0												
adriamycin,docetaxel,gemcitabine,ifosfamide,letrozole																				1.0												
[not available],bevacizumab,doxetaxel,gemcitabine,trabectedin,valproic acid																				1.0												
adriamycin,docetaxel,doxil,gemcitabine,ifosfamide																				1.0												
5-fluorouracil,gemcitabine																					8.0											
gemcitabine,xeloda																					5.0											
5-fluorouracil,gemcitabine,irinotecan,leucovorin,oxaliplatin																					2.0											
5-fluorouracil,gemcitabine,irinotecan,leucovorin,oxaliplatin,paclitaxel																					2.0											
5-fluorouracil,gemcitabine,leucovorin,oxaliplatin																					2.0											
5-fluorouracil,gemcitabine,oxaliplatin																					2.0											
capecitabine,docetaxel,gemcitabine																					1.0											
gemcitabine,oxaliplatin																					1.0											
gemcitabine,paclitaxel																					1.0											
5-fluorouracil,cisplatin,gemcitabine																					1.0											
5-fluorouracil,folinic acid,gemcitabine,irinotecan,oxaliplatin																					1.0											
5-fluorouracil,carboplatin,gemcitabine,leucovorin,oxaliplatin																					1.0											
5-fluorouracil,camptosar,eloxatin,gemcitabine,leucovorin																					1.0											
5-fluorouracil,folinic acid,gemcitabine,irinotecan hydrochloride,oxaliplatin																					1.0											
5-fluorouracil,irinotecan,oxaliplatin																					1.0											
5-fluorouracil,capecitabine,gemcitabine,oxaliplatin																					1.0											
5-fluorouracil,dexamethasone,gemcitabine,megace,oxaliplatin																					1.0											
5-fluorouracil,[unknown],gemcitibine,irinotecan,leucovorin,oxaliplatin																					1.0											
5-fluorouracil,gemcitabine,irinotecan,leucovorin,oxaliplatin,xeloda																					1.0											
gemcitabine injection																					1.0											
5-fluorouracil,capecitabine,gemcitabine,irinotecan,oxaliplatin																					1.0											
5-fluorouracil,gemcitabine,irinotecan hydrochloride,leucovorin calcium,oxaliplatin																					1.0											
5-fluorouracil,gemcitabine,leucovorin,oxaliplatin,paclitaxel,xeloda																					1.0											
5-fluorouracil,[not available],gemcitabine																					1.0											
5-fluorouracil,capecitabine,gemcitabine																					1.0											
5-fluorouracil,gemcitabine hcl,paclitaxel																					1.0											
5-fluorouracil,gemcitabine,irinotecan,leucovorin																					1.0											
capecitabine,gemcitabine																					1.0											1.0
fu7,gemcitabine,leucovorin																					1.0											
cyclophosphamide,dacarbazine,gemcitabine,vincristine																						1.0										
cyclophosphamide, vincristine, and dacarbazine																						1.0										
cytoxan, vincristine and dacarbazine																						1.0										
temodar,xeloda																						1.0										
5-fluorouracil,leucovorin calcium,oxaliplatin																							3.0									
5-fluorouracil,folinic acid,irinotecan,oxaliplatin																							2.0									
mayo 425-20																							2.0									
capecitabine -xeloda																							1.0									
bevacizumab,capecitabine,oxaliplatin																							1.0									
5-fluorouracil,leucovorin,oxaliplatin,xeloda																							1.0									
5-fluorouracil,leucovorin calcium,oxaliplatin,pegfilgrastim																							1.0									
5-fluorouracil,bevacizumab,capecitabine,gemcitabine,irinotecan,leucovorin,mitomycin,oxaliplatin																							1.0									
5-fluorouracil,etoposide,leucovorin,xeloda																							1.0									
bevacizumab,capecitabine																							1.0									
5-fluorouracil,leuocvorin,oxaliplatin																							1.0									
5-fluorouracil,oxaliplatin,polyplatillen																							1.0									
oxaliplatin,xeloda																							1.0									
5-fluorouracil,bevacizumab,irinotecan hcl,leucovorin,oxaliplatin																							1.0									
 placebo study,5-fluorouracil,aflibercept,avastin,bevacizumab,camptosar,fudr (floxuridine),irinotecan,leucovorin,oxaliplatin																							1.0									
bevacizumab																							1.0									
bevacizumab,capecitabine,irinotecan																							1.0									
[unknown],zoledronic acid																							1.0									
5-fluorouracil,avastin,leucovorin,oxaliplatin,xeloda																							1.0									
5-fluorouracil,bevacizumab,folinic acid																							1.0									
folinic acid																							1.0									
bleomycin,cisplatin,etoposide																								46.0								
bleomycin																								3.0								
bleomycin,etoposide,platinum																								1.0								
cisplatin,etoposide,ifosfamid																								1.0								
bleomycin,etoposide,ifosfamide,paclitaxel,platinum																								1.0								
bleomycin,cisplatin,gemox,ifosfamide																								1.0								
bleomycin,cisplatin,etoposid																								1.0								
azathioprine																									2.0							
cisplatin,cyclophosphamide,doxorubicin,pemetrexed																									1.0							
bevacizumab,sunitinib,temsirolimus																										1.0						
bevacizumab,sutent,temsirolimus																										1.0						
avastin,sorafenib																										1.0						
thalidomide																										1.0						
lymphocyte infusion,ptk-zk																										1.0						
avastin,carboplatin,cisplatin,doxorubicin,etoposide,mitotane,streptozocin																											1.0					
ketoconazole,sunitinib																											1.0					
adriamycin,carboplatin,cisplatin,etoposide																											1.0					
porfimer sodium (photofin)																												4.0				
2-[1-hexyloxyethyl]-2-devinyl pyropheophorbide-alpha (hpph or photochlor)																												4.0				
porfimer sodium (photofrin)																												3.0				
[not available],carboplatin,pemetrexed																												3.0				
dasatinib																												2.0				
[not available],cisplatin,pemetrexed																												2.0				
tetrathiomolybdate																												2.0				
porfimer sodium(photofin)																												1.0				
[unknown],cisplatin,gemcitabine																												1.0				
cediranib,dasatinib																												1.0				
tivantinib (arq-197)																												1.0				
adriamycin,cisplatin,pemetrexed																												1.0				
cisplatin,gemcitabine,pemetrexed																												1.0				
dasatinib,gemcitabine,r1507,tarceva																												1.0				
cisplatin,gemcitabine,pemetrexed,sutent																												1.0				
bevacizumab,carboplatin,cisplatin,dasatinib,doxorubicin,everolimus,imatinib,pemetrexed,temsirolimus																												1.0				
carboplatin,cisplatin,everolimus,gemcitabine,pemetrexed,vinorelbine																												1.0				
cisplatin,pemetrexed,wt-1 vaccine																												1.0				
cisplatin, pemetrexed,dasatinib,vorinostat																												1.0				
carboplatin,gl-onc1,pemetrexed																												1.0				
cisplatin,dasatinib,pemetrexed																												1.0				
[not available],carboplatin,gemcitabine,pemetrexed																												1.0				
cediranib,cisplatin,dasatinib,pemetrexed																												1.0				
cisplatin,pemetrexed,tetrathiomolybdate																												1.0				
amatuximab (morab-009),cisplatin,ds-8273a,gdc-0980,pemetrexed,tivantinib (arq-197)																												1.0				
ciclofosfamida,doxorubicina,prednisona,rituximab,vincristina																														7.0		
cyclophosphamide,doxorubicin,prednisone,rituximab,vincristine																														4.0		
adriamycin,cyclophosphamide,prednisone,vincristine																														3.0		
chop,rituximab																														3.0		
epoch,rituximab																														2.0		
cyclophosphamide,hydroxydaunomycin,methotrexate,oncovin,prednisolone,rituximab																														2.0		
cyclophosphamide,doxorubicin,predisone,rituximab,vincristine																														1.0		
bleomycin,cyclophosphamide,doxorubicin,etoposide,vincristine																														1.0		
cyclophosphamide,hydroxydaunomycin,oncovin,prednisolone,rituximab,vincristine																														1.0		
ciclofosfamida,doxorubicina,intrathecal methotrexate,prednisona,rituximab,vincristina																														1.0		
cyclophosphamide,doxorubicin,vinblastine																														1.0		
ciclofosfamida,prednisona,rituximab,vincristina																														1.0		
[not available],ciclofosfamida,cisplatim,doxorubicina,etoposide,metilprednisona,prednisona,rituximab,vincristina																														1.0		
cyclophosphamide,doxorubicin,rituximab,vincristine																														1.0		
cyclophosphamide,doxorubicin,intrathecal methotrexate,prednisone,rituximab,vincristine																														1.0		
cvad,ice,o-ice,ofatumumab																														1.0		
adriamycin,cyclophosphamide,prednisolone,vincristine																														1.0		
bortezomib,carboplatin,cyclophosphamide,cytarabine,decadron,dexamethasone,doxorubicin,gemcitabine,revlimid,rituximab,vincristine,vinorelbine																														1.0		
chop,epoch,rituximab																														1.0		
 leucovorin,high dose methotrexate w																														1.0		
bleomycin,cyclophosphamide,dacarbazine,dexamethasone,doxorubicin,etoposide,mitoxantrone,vincristine																														1.0		
adriamycin,cytoxan,doxil,prednisone,rituximab,vincristine																														1.0		
adriamycin,cytoxan,rituximab,vincristine																														1.0		
adriamycin,cytoxan,prednisone,vincristine																														1.0		
cisplatin,cyclophosphamide,cytarabine,dexamethasone,doxorubicin,rituximab,vincristine																														1.0		
adriamycin,carboplatin,cyclophosphamide,dexamethasone,high dose ara-c,prednisone,rituxan,vincristine																														1.0		
cyclophosphamide,hydroxydaunomycin,oncovin,prednisolone,rituximab																														1.0		
bleomycin,cytoxan,il-2,prednisone,thiotepa,vincristine,vp-16																														1.0		
cisplatin,ifosfamide																															2.0	
carboplatin,cisplatin,ifosfamide,mesna,paclitaxel																															1.0	
adriamycin,cisplatin,cytoxan,ifosfamide,mesna,paclitaxel																															1.0	
adriamycin,cisplatin,cyclophosphamide																															1.0	
carboplatin,ifosfamide,paclitaxel																															1.0	
ifosfamide,paclitaxel																															1.0	
ifex,mesna,paclitaxel																															1.0	
carboplatin,docetaxel,gemcitabine,paclitaxel																															1.0	
avastin,carboplatin,paclitaxel																															1.0	
carboplatin,ifosfamide																															1.0	
